JobIDRaw|Start|Elapsed|AllocTRES|State
3657474.batch|2025-02-23T04:14:57|00:00:12|cpu=20,gres/gpu:a100=4,gres/gpu=4,mem=250G,node=1|FAILED
3657474.extern|2025-02-23T04:14:57|00:00:12|billing=1032,cpu=40,gres/gpu:a100=8,gres/gpu=8,mem=500G,node=2|COMPLETED
3657477|2025-02-23T04:23:17|00:01:58|billing=1472,cpu=128,gres/gpu:a100=8,gres/gpu=8,mem=500G,node=2|CANCELLED by 364274
3657477.batch|2025-02-23T04:23:17|00:01:59|cpu=64,gres/gpu:a100=4,gres/gpu=4,mem=250G,node=1|CANCELLED
3657477.extern|2025-02-23T04:23:17|00:01:59|billing=1472,cpu=128,gres/gpu:a100=8,gres/gpu=8,mem=500G,node=2|COMPLETED
3657477.0|2025-02-23T04:23:30|00:01:48|cpu=128,gres/gpu:a100=8,gres/gpu=8,mem=500G,node=2|CANCELLED
3657479|2025-02-23T04:25:32|00:12:32|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657479.extern|2025-02-23T04:25:32|00:12:33|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657484|2025-02-23T04:39:27|00:03:31|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657484.extern|2025-02-23T04:39:27|00:03:31|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657490|2025-02-23T04:47:35|00:02:10|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657490.batch|2025-02-23T04:47:35|00:02:11|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657490.extern|2025-02-23T04:47:35|00:02:10|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657491|2025-02-23T04:47:41|00:02:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657491.batch|2025-02-23T04:47:41|00:02:05|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657491.extern|2025-02-23T04:47:41|00:02:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657492|2025-02-23T04:47:46|00:01:59|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657492.batch|2025-02-23T04:47:46|00:02:00|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657492.extern|2025-02-23T04:47:46|00:01:59|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657493|2025-02-23T04:47:49|00:01:56|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657493.batch|2025-02-23T04:47:49|00:01:57|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657493.extern|2025-02-23T04:47:49|00:01:56|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657494|2025-02-23T04:48:13|00:01:32|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657494.batch|2025-02-23T04:48:13|00:01:33|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657494.extern|2025-02-23T04:48:13|00:01:32|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657495|2025-02-23T04:48:17|00:01:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657495.batch|2025-02-23T04:48:17|00:01:29|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657495.extern|2025-02-23T04:48:17|00:01:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657496|2025-02-23T04:48:18|00:01:27|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657496.batch|2025-02-23T04:48:18|00:01:28|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657496.extern|2025-02-23T04:48:18|00:01:27|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657497|2025-02-23T04:48:20|00:01:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657497.batch|2025-02-23T04:48:20|00:01:26|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657497.extern|2025-02-23T04:48:20|00:01:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657498|2025-02-23T04:48:20|00:01:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657498.batch|2025-02-23T04:48:20|00:01:27|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657498.extern|2025-02-23T04:48:20|00:01:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657499|2025-02-23T04:48:23|00:01:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657499.batch|2025-02-23T04:48:23|00:01:23|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657499.extern|2025-02-23T04:48:23|00:01:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657500|2025-02-23T04:48:26|00:01:19|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657500.batch|2025-02-23T04:48:26|00:01:20|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657500.extern|2025-02-23T04:48:26|00:01:19|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657501|2025-02-23T04:48:26|00:01:19|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657501.batch|2025-02-23T04:48:26|00:01:20|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657501.extern|2025-02-23T04:48:26|00:01:19|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657502|2025-02-23T04:52:45|08:00:10|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
